"STATION","NAME","DATE","SNOW","TSUN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-01","168",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-02","285",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-03","323",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2014-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-01","92",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-02","251",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-03","125",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2015-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-01","478",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-02","79",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-03","8",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2016-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01","35",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-02","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-03","51",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-12","48",
